,height,weight,url,name,firstyear,lastyear,primary_pos
14642,5-11,204,player.php?p=robinja02,Jackie Robinson,1947,1956,SS
14643,6-04,200,player.php?p=robinje01,Jeff Robinson,1984,1992,RF
14644,6-06,240,player.php?p=robinje02,Jeff Robinson,1987,1992,P
14645,5-07,175,player.php?p=robinke01,Kenny Robinson,1995,1997,P
14646,6-00,175,player.php?p=robinke02,Kerry Robinson,1998,2006,CF
14647,5-06,148,player.php?p=robinra01,Rabbit Robinson,1903,1910,3B
14648,6-04,235,player.php?p=robinro01,Ron Robinson,1984,1992,P
14649,5-09,170,player.php?p=robinsh01,Shane Robinson,2015,2018,P
14650,5-10,200,player.php?p=robintr01,Trayvon Robinson,2011,2012,CF
14651,5-08,215,player.php?p=robinwi01,Wilbert Robinson,1886,1902,CF
14652,5-06½,170,player.php?p=robinya01,Yank Robinson,1882,1892,1B
14653,5-08,150,player.php?p=robitch01,Chick Robitaille,1904,1905,P
14654,5-11,185,player.php?p=robleha01,Hansel Robles,2015,2018,P
14655,5-10,215,player.php?p=roblema01,Mauricio Robles,2013,2013,P
14656,5-11,155,player.php?p=robleos01,Oscar Robles,2005,2007,2B
14657,6-00,170,player.php?p=roblera01,Rafael Robles,1969,1972,3B
14658,6-02,190,player.php?p=roblese01,Sergio Robles,1972,1976,C
14659,6-00,185,player.php?p=roblevi01,Victor Robles,2017,2017,LF
14660,6-03,215,player.php?p=robsoto01,Tom Robson,1974,1975,1B
14661,5-11,188,player.php?p=roccomi01,Mickey Rocco,1943,1946,1B
14662,6-00,190,player.php?p=rochear01,Armando Roche,1945,1945,P
14663,6-01,178,player.php?p=rocheja01,Jack Roche,1914,1917,C
14664,6-02,185,player.php?p=rochebe01,Ben Rochefort,1914,1914,1B
14665,6-01,175,player.php?p=rochelo01,Lou Rochelli,1944,1944,2B
14666,6-04,205,player.php?p=rochfmi01,Mike Rochford,1988,1990,P
14667,6-02,184,player.php?p=rockle01,Les Rock,1936,1936,1B
14668,5-07,150,player.php?p=rockeik01,Ike Rockenfield,1905,1906,2B
14669,6-04,225,player.php?p=rockejo01,John Rocker,1998,2003,P
14670,5-11,170,player.php?p=rockepa01,Pat Rockett,1976,1978,SS
14671,6-01,180,player.php?p=rodasri01,Rich Rodas,1983,1984,P
14672,6-03,200,player.php?p=rodgean01,Andre Rodgers,1957,1967,RF
14673,5-09½,170,player.php?p=rodgebi01,Bill Rodgers,1915,1916,RF
